iter	Passed	Remaining
1351	805747	1578120
1352	806322	1577483
1353	806888	1576829
1354	807587	1576434
1355	808184	1575839
1356	808938	1575552
1357	809503	1574895
1358	810001	1574107
1359	810654	1573623
1360	811148	1572829
1361	811674	1572098
1362	812218	1571401
1363	812866	1570905
1364	813418	1570224
1365	814024	1569648
1366	814483	1568788
1367	815150	1568329
1368	815716	1567676
1369	816298	1567055
1370	816811	1566299
1371	817361	1565616
1372	817991	1565086
1373	818615	1564543
1374	819131	1563795
1375	819690	1563129
1376	820335	1562628
1377	820856	1561890
1378	821426	1561245
1379	822149	1560891
1380	822708	1560226
1381	823277	1559579
1382	823786	1558820
1383	824356	1558177
1384	824888	1557461
1385	825467	1556833
1386	826067	1556247
1387	826705	1555731
1388	827297	1555128
1389	827872	1554494
1390	828424	1553817
1391	828954	1553097
1392	829521	1552449
1393	830199	1552008
1394	830742	1551314
1395	831395	1550827
1396	832027	1550298
1397	832624	1549706
1398	833265	1549194
1399	833829	1548541
1400	834460	1548011
1401	835110	1547515
1402	835692	1546895
1403	836345	1546405
1404	837014	1545945
1405	837581	1545296
1406	838141	1544633
1407	838725	1544016
1408	839387	1543543
1409	839941	1542871
1410	840489	1542188
1411	841080	1541583
1412	841713	1541056
1413	842303	1540450
1414	842834	1539736
1415	843446	1539170
1416	844043	1538577
1417	844599	1537910
1418	845206	1537334
1419	845787	1536712
1420	846671	1536640
1421	847188	1535901
1422	847858	1535439
1423	848429	1534799
1424	848958	1534082
1425	849591	1533554
1426	850196	1532975
1427	850628	1532085
1428	851121	1531303
1429	851694	1530668
1430	852226	1529958
1431	852764	1529258
1432	853321	1528594
1433	853924	1528012
1434	854452	1527295
1435	855058	1526719
1436	855682	1526174
1437	856297	1525614
1438	856842	1524929
1439	857386	1524242
1440	857992	1523665
1441	858530	1522968
1442	859059	1522255
1443	859690	1521723
1444	860455	1521428
1445	861093	1520907
1446	861710	1520349
1447	862511	1520116
1448	875801	1541870
1449	882413	1551830
1450	882975	1551140
1451	883526	1550430
1452	885760	1552671
1453	887904	1554749
1454	888553	1554206
1455	889074	1553437
1456	889616	1552708
1457	890195	1552041
1458	890726	1551292
1459	891373	1550745
1460	891900	1549989
1461	892439	1549254
1462	893173	1548859
1463	893882	1548419
1464	894497	1547815
1465	895183	1547336
1466	895972	1547033
1467	896532	1546335
1468	897121	1545687
1469	897745	1545098
1470	898380	1544530
1471	899006	1543946
1472	899583	1543277
1473	900250	1542762
1474	900871	1542170
1475	901483	1541561
1476	902128	1541009
1477	902734	1540390
1478	903269	1539649
1479	903897	1539069
1480	904471	1538396
1481	904993	1537634
1482	905499	1536845
1483	906059	1536148
1484	906704	1535596
1485	907226	1534837
1486	907793	1534153
1487	908392	1533523
1488	908910	1532756
1489	909456	1532037
1490	910161	1531586
1491	910682	1530824
1492	911240	1530126
1493	911843	1529504
